Liga,Temporada,Fecha y Hora,Estado,Equipo Local,Goles Local,Equipo Visitante,Goles Visitante,Tiros al Arco Local,Tiros al Arco Visitante,Tiros Totales Local,Tiros Totales Visitante,Posesión Local (%),Posesión Visitante (%),Tiros de Esquina Local,Tiros de Esquina Visitante,Faltas Local,Faltas Visitante,Pases Completos Local,Pases Completos Visitante
Premier League,2020,2020-09-12T11:30:00+00:00,Match Finished,Fulham,0,Arsenal,3,2,6,5,13,45%,55%,2,3,12,12,N/A,N/A
Premier League,2020,2020-09-12T14:00:00+00:00,Match Finished,Crystal Palace,1,Southampton,0,3,5,5,9,29%,71%,7,3,14,11,N/A,N/A
Premier League,2020,2020-09-12T16:30:00+00:00,Match Finished,Liverpool,4,Leeds,3,6,3,22,6,48%,52%,9,0,9,6,N/A,N/A
Premier League,2020,2020-09-12T19:00:00+00:00,Match Finished,West Ham,0,Newcastle,2,3,2,15,15,58%,42%,8,7,13,7,N/A,N/A
Premier League,2020,2020-09-13T13:00:00+00:00,Match Finished,West Brom,0,Leicester,3,1,7,7,13,35%,65%,2,5,12,9,N/A,N/A
Premier League,2020,2020-09-13T15:30:00+00:00,Match Finished,Tottenham,0,Everton,1,5,4,9,15,51%,49%,5,3,15,7,N/A,N/A
Premier League,2020,2020-09-14T17:00:00+00:00,Match Finished,Sheffield Utd,0,Wolves,2,2,4,9,11,55%,45%,12,5,13,7,N/A,N/A
Premier League,2020,2020-09-14T19:15:00+00:00,Match Finished,Brighton,1,Chelsea,3,3,5,13,10,52%,48%,4,3,8,13,N/A,N/A
Premier League,2020,2020-09-19T11:30:00+00:00,Match Finished,Everton,5,West Brom,2,7,4,17,6,71%,29%,11,1,9,11,N/A,N/A
Premier League,2020,2020-09-19T14:00:00+00:00,Match Finished,Leeds,4,Fulham,3,7,6,10,14,50%,50%,5,3,13,18,N/A,N/A
Premier League,2020,2020-09-19T16:30:00+00:00,Match Finished,Manchester United,1,Crystal Palace,3,4,5,17,14,75%,25%,9,3,13,10,N/A,N/A
Premier League,2020,2020-09-19T19:00:00+00:00,Match Finished,Arsenal,2,West Ham,1,3,3,7,14,62%,38%,7,5,11,13,N/A,N/A
Premier League,2020,2020-09-20T11:00:00+00:00,Match Finished,Southampton,2,Tottenham,5,7,6,14,9,52%,48%,3,2,17,18,N/A,N/A
Premier League,2020,2020-09-20T13:00:00+00:00,Match Finished,Newcastle,0,Brighton,3,0,6,6,13,47%,53%,7,1,16,15,N/A,N/A
Premier League,2020,2020-09-20T15:30:00+00:00,Match Finished,Chelsea,0,Liverpool,2,3,6,5,18,38%,62%,1,11,10,6,N/A,N/A
Premier League,2020,2020-09-20T18:00:00+00:00,Match Finished,Leicester,4,Burnley,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-21T17:00:00+00:00,Match Finished,Aston Villa,1,Sheffield Utd,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-21T19:15:00+00:00,Match Finished,Wolves,1,Manchester City,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-26T11:30:00+00:00,Match Finished,Brighton,2,Manchester United,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-26T14:00:00+00:00,Match Finished,Crystal Palace,1,Everton,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-26T16:30:00+00:00,Match Finished,West Brom,3,Chelsea,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-26T19:00:00+00:00,Match Finished,Burnley,0,Southampton,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-27T11:00:00+00:00,Match Finished,Sheffield Utd,0,Leeds,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-27T13:00:00+00:00,Match Finished,Tottenham,1,Newcastle,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2020-09-27T15:30:00+00:00,Match Finished,Manchester City,2,Leicester,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
